filename,cipher_family,code,target_size,implementation,sample_id,fingerprint,file_size,entropy,chi2,byte_mean,byte_variance,byte_skewness,byte_kurtosis,serial_corr,bigram_entropy,trigram_entropy,runs,runs_z,block_entropy_std_16,block_entropy_std_8,block_mean_std_16,block_mean_std_8,top8_ratio,top16_ratio,low_byte_ratio,high_byte_ratio,even_byte_ratio,zero_byte_ratio,peak_count,max_run_length,diff_entropy
mlkem768_s057_openssl.bin,ML-KEM-768,mlkem768,1088,openssl,385,b320b426437e33c3,1088,7.807943360229598,272.0,125.52297794117646,5483.379986720101,0.008712103020411662,-1.2080923546135967,0.0016449147467983043,10.073256740206702,10.084808387804364,553,0.4893684983507218,0.08966718299438123,0.10322626005856868,16.028334373997208,24.09483218465873,0.0744485294117647,0.13419117647058823,0.06525735294117647,0.05514705882352941,0.4990808823529412,0.0009191176470588235,0,2,7.819918822103016
mlkem768_s055_liboqs.bin,ML-KEM-768,mlkem768,1088,liboqs,386,0eff5b8ca558bfbf,1088,7.841903862294029,224.47058823529412,125.87683823529412,5457.080419415009,0.048293035564640575,-1.214604617884114,-0.027401749595117094,10.06773696099787,10.084808387804364,550,0.33586396391415024,0.08154806254712807,0.06816358903580573,17.043089754665875,23.88007138014648,0.06433823529411764,0.12316176470588236,0.05974264705882353,0.05606617647058824,0.4963235294117647,0.003676470588235294,0,2,7.828506317196004
rsa2048_s083_liboqs.bin,RSA-2048,rsa2048,256,liboqs,387,1d9f87a684c0c3fb,256,7.179382031114783,262.0,126.5546875,5145.856384277344,-0.0035554354488499928,-1.1691314017146834,0.09233022990673044,7.994353436858858,7.9886846867721655,121,-0.9937082327226572,0.07493486755176124,0.06051536478449089,21.834827789333346,26.705094052256094,0.125,0.21875,0.05859375,0.03515625,0.4609375,0.0,6,2,7.23134000536753
3des_s029_openssl.bin,3DES,3des,4112,openssl,388,416d208d32f6639c,4112,7.950587691610837,275.8599221789883,129.73759727626458,5330.03206893509,-0.024882774487067393,-1.1600143096896212,-0.03644224960906888,11.92961820776592,12.003949442559312,2113,1.7648256679561642,0.08008559470353165,0.07976653696498054,19.55945167421584,25.638294892511887,0.05034046692607004,0.09533073929961089,0.05544747081712062,0.0634727626459144,0.49537937743190663,0.005107003891050584,0,2,7.956654731878173
chacha20_s027_liboqs.bin,ChaCha20,chacha20,528,liboqs,389,1e70f25f0050c6af,528,7.537125424641202,290.42424242424244,125.54924242424242,5080.993787304867,-0.002215045793861887,-1.1365641512619373,-0.022002033897962393,9.041659151637214,9.038918989292302,258,-0.5166253074536105,0.08106414605694204,0.05965157480311978,19.37388045137733,26.015701104746988,0.0928030303030303,0.16856060606060605,0.06818181818181818,0.03409090909090909,0.48484848484848486,0.003787878787878788,2,2,7.601304368188368
mlkem768_s053_openssl.bin,ML-KEM-768,mlkem768,1088,openssl,390,e62f7484bd76cf2d,1088,7.834964807033296,237.1764705882353,128.03768382352942,5508.186999047091,-0.05400171063570458,-1.2004225407616902,-0.028891743504793843,10.071416813803758,10.084808387804364,577,1.9469648039789975,0.0867025728288435,0.07831400148581173,17.82545046413406,24.936980865214842,0.06801470588235294,0.12775735294117646,0.07077205882352941,0.057904411764705885,0.484375,0.0055147058823529415,0,2,7.800616867860203
aes256_s022_liboqs.bin,AES-256,aes256,1040,liboqs,391,8f4f5809196cd3aa,1040,7.821437893458843,240.0,126.66346153846153,5391.032895710059,0.018745725182560916,-1.1759931331323425,-0.07820443491422768,9.999805732936936,10.019590728357882,554,2.1148211760785096,0.0720576692122892,0.075,17.070237018386866,24.37011709550286,0.06923076923076923,0.12788461538461537,0.06634615384615385,0.05673076923076923,0.48846153846153845,0.0057692307692307696,0,2,7.765629959186928
chacha20_s014_liboqs.bin,ChaCha20,chacha20,4112,liboqs,392,6341f33c834effc9,4112,7.95094765636849,275.8599221789883,128.10603112840468,5391.64342666051,-0.020318766327902832,-1.1908554263054436,0.002749867686840835,11.943240197549427,12.004922678569045,2052,-0.15208995322675928,0.08854988220101627,0.09038975202905422,18.311634007810333,26.157168726470058,0.05058365758754864,0.0967898832684825,0.06006809338521401,0.055690661478599225,0.5009727626459144,0.004377431906614786,0,2,7.957451436168794
des_s086_liboqs.bin,DES,des,528,liboqs,393,b16c8f4bff838a10,528,7.6421780116586016,209.93939393939394,128.77651515151516,5132.423539370982,-0.04110014351756827,-1.12339667475397,-0.05445636455208412,9.03406901880989,9.038918989292302,270,0.4409891481831136,0.06943296507508849,0.0896375724712063,15.635269581983087,23.924968683201964,0.07575757575757576,0.14015151515151514,0.06439393939393939,0.05303030303030303,0.5037878787878788,0.001893939393939394,0,2,7.630091993571081
des_s019_liboqs.bin,DES,des,4104,liboqs,394,3afb3489ca5f22e1,4104,7.957047412332582,239.64132553606237,129.34844054580896,5515.854710043736,-0.02239684406836022,-1.2008476166312225,-0.012647807277654874,11.936409441815115,12.001624209439383,2053,0.0007455950718765288,0.10334158564584306,0.0754243656331686,18.419991969246635,25.697956832885893,0.049707602339181284,0.09454191033138401,0.0594541910331384,0.06262183235867447,0.49366471734892786,0.003898635477582846,0,2,7.949894381650197
mlkem768_s047_openssl.bin,ML-KEM-768,mlkem768,1088,openssl,395,a06c01b29bef8186,1088,7.841853306341229,223.05882352941177,128.65073529411765,5618.346764165225,-0.04213099742968979,-1.2649093251278727,-0.026304760359251052,10.078776519415534,10.084808387804364,560,0.9172624767905843,0.0658693855410622,0.07711829765956997,18.084120466925775,25.808538889414127,0.06709558823529412,0.12408088235294118,0.06066176470588235,0.05238970588235294,0.5238970588235294,0.001838235294117647,0,2,7.854010009134743
des_s004_openssl.bin,DES,des,2064,openssl,396,2f9b541c684d54bb,2064,7.909485780579611,255.62790697674419,128.08866279069767,5422.355026506445,0.004497722083804644,-1.231208715054325,0.019731226728224343,10.975627475736218,11.009828617368107,1019,-0.6093509359846971,0.08519420403229948,0.062023073665911865,20.540546345960554,29.170203133131423,0.05910852713178295,0.10949612403100775,0.05232558139534884,0.05813953488372093,0.5053294573643411,0.001937984496124031,0,2,7.894736985741485
aes128_s079_liboqs.bin,AES-128,aes128,544,liboqs,397,9426ce9132f057dd,544,7.636301997768459,234.35294117647058,127.6966911764706,5609.023812581098,-0.020042621518557333,-1.1615343045605027,0.031219045818963734,9.073758664047455,9.082149041353869,262,-0.9438092019709048,0.058477844560981124,0.058823529411764705,20.079970702834377,26.795070230996593,0.08088235294117647,0.14705882352941177,0.08272058823529412,0.07536764705882353,0.48713235294117646,0.0055147058823529415,1,1,7.576607429837503
rsa2048_s050_openssl.bin,RSA-2048,rsa2048,256,openssl,398,0a2f2f5bf68b5f8f,256,7.160519056804977,268.0,132.03125,5950.8037109375,-0.050756674515893274,-1.3288521519887773,0.13938489466775347,7.986510299603956,7.9886846867721655,112,-2.0875010117904775,0.11724062235579527,0.1230201458988915,19.725966884572475,33.04314769169245,0.125,0.21875,0.046875,0.08203125,0.4921875,0.0,5,2,7.1544394544873855
chacha20_s053_liboqs.bin,ChaCha20,chacha20,272,liboqs,399,ae76ee13e51f71b6,272,7.206624697724815,268.2352941176471,124.41911764705883,5599.184634515571,0.040102531215401305,-1.2486681316294717,-0.018979115407573275,8.074768967553133,8.07681559705083,133,-0.4302903200285543,0.08511644781463401,0.09329836426801118,16.57391760597622,25.54238623953699,0.125,0.21323529411764705,0.07720588235294118,0.05514705882352941,0.5073529411764706,0.011029411764705883,8,1,7.217046723969311
